Rank,Name,Score
1,Guy Hufkens,100.0
2,Olivier Leroy,92.81
3,Raymond Goffinet,92.27
4,Steven De Weerdt,91.77
5,Yves Mardaga,91.50
6,Guido ter Horst,88.78
7,Rudy Van Cauwenbergh,84.55
8,Jurgen Goor,81.65
9,Jerome Veranneman,80.47
10,Claude Wallach,74.33
11,Jean-Pierre Thomee,67.02
12,Johan Van den Brande,25.95
