Rank,Name,Score
1,Kristof Verschoren,100.0
2,Johan Van den Brande,95.00
3,Sacha Monnom,94.66
4,Steven De Weerdt,90.71
5,Hans Heremans,83.75
6,Paul Van de Water,81.38
7,Rudi Liekens,80.20
8,Olivier Leroy,76.67
9,Ralf Van Dorsselaer,37.03
