Rank,Name,Score
1,Guy Hufkens,100.0
2,Raymond Goffinet,99.02
3,Kristof Verschoren,97.40
4,Yves Mardaga,97.30
5,Steven De Weerdt,95.20
6,Guido ter Horst,93.78
7,Olivier Leroy,92.74
8,Jurgen Goor,92.04
9,Claude Wallach,84.56
10,Johan Van den Brande,80.74
11,Chris Biesmans,80.14
12,Hein Van den Broeck,79.82
13,Jerome Veranneman,74.52
14,Bavo Tielemans,54.76
15,Daniel Robert,33.22
