Rank,Name,Score
1,Kristof Verschoren,100.0
2,David Claeys,98.48
3,Sacha Monnom,97.78
4,Steven De Weerdt,91.50
5,Olivier Leroy,87.26
6,Johan Van den Brande,86.62
7,Paul Van de Water,66.18
8,Rudi Liekens,64.77
