Rank,Name,Score
1,Kristof Verschoren,100.0
2,Frederic Belche,96.26
3,Johan Van den Brande,91.80
4,Olivier Leroy,85.17
5,Domi Jacobs,80.77
6,Sacha Monnom,61.20
