Rank,Name,Score
1,Steven De Weerdt,100.0
2,Guy Hufkens,99.71
3,Kristof Verschoren,96.83
4,Olivier Leroy,92.32
5,Jurgen Goor,85.77
6,Johan Van den Brande,79.91
7,Guido ter Horst,77.23
