Rank,Name,Score
1,Kristof Verschoren,100.00
2,Sacha Monnom,96.42
3,Johan Van den Brande,90.10
4,Peter Cuypers,89.94
5,Olivier Leroy,86.05
6,Rudi Liekens,82.31
7,Steven De Weerdt,78.83
8,Dummy 1,74.91
9,Kevin Jansen,73.65
10,Paul Van de Water,67.49
11,Domi Jacobs,51.60
12,Patrick Zephirin,50.94
13,Dummy 2,0.00
