Rank,Name,Score
1,Steven De Weerdt,100.0
2,Raymond Goffinet,97.81
3,Kristof Verschoren,94.15
5,Guy Hufkens,93.19
6,Jurgen Goor,88.77
7,Yves Mardaga,87.93
8,Olivier Leroy,82.84
9,Johan Van den Brande,74.83
10,Bavo Tielemans,73.04
11,Chris Biesmans,71.89
12,Jerome Veranneman,67.78
13,Guido ter Horst,40.69
