Rank,Name,Score
1,Kristof Verschoren,100.0
2,Guy Hufkens,92.41
3,Steven De Weerdt,91.78
4,Olivier Leroy,90.53
5,Raymond Goffinet,87.59
6,Christian Vandenhoven,83.41
7,Johan Van den Brande,80.06
8,Yves Mardaga,79.70
9,Jean-Pierre Thomee,77.11
10,Michael Goffin,69.88
11,Rudy Van Cauwenbergh,68.93
12,Paul Van de Water,66.89
13,Georges Petit,54.03
14,Dominique Piroton,40.45
15,Guido ter Horst,22.18
16,Jean-Pierre Awouters,15.22
17,Mathieu Bonneau,14.53
