Rank,Name,Score
1,Steven De Weerdt,100.0
2,Guy Hufkens,98.06
3,Raymond Goffinet,95.78
4,Jurgen Goor,94.09
5,Guido ter Horst,92.99
6,Olivier Leroy,91.80
7,Yves Mardaga,90.53
10,Chris Biesmans,35.69
11,Claude Wallach,28.73
