Rank,Name,Score
1,Peter Cuypers,100.00
2,Kristof Verschoren,100.00
3,Johan Van den Brande,98.83
4,Steeve Hansoulle,92.28
5,Axel Hansoulle,91.53
6,Steven De Weerdt,89.85
7,Georges PETIT,88.72
8,Jean-Luc Dufour,88.00
9,Paul Van de Water,85.00
10,Frederic Belche,80.83
11,Sacha Monnom,79.63
12,Olivier Leroy,78.92
13,Sebastien Tilliere,78.17
14,Cedric Prinsen,77.97
15,Sven Meyer,77.85
16,Jos Decoster,61.35
17,LAMBDA1 ,0.00
18,LAMDBA2 ,0.00
