Rank,Name,Score
1,Kristof Verschoren,100.0
2,Steven De Weerdt,99.99
3,Guy Hufkens,97.16
4,Olivier Leroy,87.95
5,Guido ter Horst,87.68
6,Jean-Pierre Thomee,72.62
7,Yves Mardaga,68.27
8,Rudy Van Cauwenbergh,67.56
9,Daniel Robert,29.97
