Rank,Name,Score
1,Guy Hufkens,100.0
2,Steven De Weerdt,97.13
3,Kristof Verschoren,96.67
4,Raymond Goffinet,95.31
5,Guido ter Horst,93.71
6,Yves Mardaga,93.47
8,Olivier Leroy,91.65
9,Jurgen Goor,90.15
10,Johan Van den Brande,88.19
11,Jean-Pierre Thomee,81.14
12,Jerome Veranneman,77.21
13,Claude Wallach,73.99
14,Rudy Van Cauwenbergh,60.61
15,Matthieu Bonneau,53.69
