Rank,Name,Score
1,Peter Cuypers,100.00
2,Kristof Verschoren,99.86
3,Steeve Hansoulle,99.16
4,Sacha Monnom,95.63
5,Steven De Weerdt,92.15
6,Johan Van den Brande,89.69
7,Olivier Leroy,87.11
8,Paul Van de Water,86.37
9,Rudi Liekens,79.10
10,Jos Decoster,73.74
11,Jean-Luc Dufour,73.74
12,Cedric Prinsen,72.25
13,Axel Hansoulle,65.76
14,Georges Petit,60.48
15,Jean Pierre Awouters,48.06
16,Frederic Belche,44.43
17,Dominique Piroton,39.75
18,Johnny Leroy,16.18
