Rank,Name,Score
1,Kristof Verschoren,100.0
2,Steven De Weerdt,93.59
3,Guy Hufkens,93.47
4,Yves Mardaga,86.45
5,Raymond Goffinet,85.12
6,Olivier Leroy,80.81
7,Guido ter Horst,80.50
8,Jurgen Goor,76.55
9,Johan Van den Brande,75.09
10,Domi Jacobs,71.05
11,Rudy Van Cauwenbergh,69.36
12,Jean-Pierre Thomee,31.53
