Rank,Name,Score
1,Kristof Verschoren,100.0
2,Steven De Weerdt,95.02
3,Johan Van den Brande,85.65
4,Olivier Leroy,85.05
5,Guido ter Horst,75.13
6,Yves Mardaga,68.96
7,Jean-Pierre Thomee,65.54
8,Paul Van de Water,54.20
