Rank,Name,Score
1,Kristof Verschoren,100.0
2,Olivier Leroy,94.74
3,Steven De Weerdt,93.94
4,Guy Hufkens,85.75
5,Guido ter Horst,84.71
6,Johan Van den Brande,80.93
7,Christian Vandenhoven,74.92
8,Rudy Van Cauwenbergh,52.68
9,Jean-Pierre Thomee,38.37
