Rank,Name,Score
1,Kristof Verschoren,100.0
2,Steven De Weerdt,99.38
3,Sacha Monnom,97.09
4,Johan Van den Brande,92.88
5,Olivier Leroy,88.16
6,Hansoulle Steeve,83.31
7,Hansoulle Axel,78.22
8,Jan Ardui,71.92
9,Frederic Belche,70.76
10,Dufour Jean-Luc,69.06
