Rank,Name,Score
1,Peter Cuypers,100.00
2,Kristof Verschoren,99.94
3,Johan Van den Brande,99.01
4,Sacha Monnom,98.17
5,Olivier Leroy,92.74
6,Rudi Liekens,87.01
7,Kevin Jansen,86.43
8,Steven De Weerdt,80.60
9,Seppe Coertjens,75.25
10,Paul Van de Water,73.81
11,Jean-Luc Dufour,62.37
12,Cedric Beeckmans,54.56
13,Dummy 3,0.00
14,Dummy 2,0.00
15,Dummy 1,0.00
