Rank,Name,Score
1,Johan Van den Brande,100.00
2,Kristof Verschoren,99.28
3,Peter Cuypers,94.40
4,Sacha Monnom,81.97
5,Olivier Leroy,73.30
6,Cedric Prinsen,72.88
7,Axel Hansoulle,70.28
8,Steeve Hansoulle,69.75
9,Rudi Liekens,68.50
10,Georges PETIT,63.52
11,Steven De Weerdt,62.58
12,Jonathan Symens,61.10
13,Paul Van de Water,60.77
14,Jean-Luc Dufour,50.05
15,Frederic Belche,30.88
