Rank,Name,Score
1,Guy Hufkens,90.82
2,Steven De Weerdt,89.61
3,Raymond Goffinet,77.64
4,Yves Mardaga,76.86
5,Jerome Veranneman,74.31
6,Olivier Leroy,73.12
7,Guido ter Horst,73.04
8,Jurgen Goor,68.39
9,Claude Wallach,60.72
10,Rudi Mariën,58.90
11,Johan Van den Brande,57.89
12,Hein Van den Broeck,53.41
