Rank,Name,Score
1,Kristof Verschoren,100.0
2,Olivier Leroy,93.89
3,Steven De Weerdt,93.60
4,Sacha Monnom,90.77
5,Johan Van den Brande,88.07
6,Jean-Luc Dufour,83.74
