Rank,Name,Score
1,Kristof Verschoren,89.10
2,Sacha Monnom,88.67
3,Steven De Weerdt,80.72
4,Peter Cuypers,80.51
5,Johan Van den Brande,77.03
6,Jean-Luc Dufour,69.34
