Rank,Name,Score
4,Steeve Hansoulle,86.33
5,Sacha Monnom,83.79
7,Peter Cuypers,81.47
8,Kevin Jansen,78.21
10,Johan Van den Brande,76.21
11,Steven De Weerdt,73.74
13,Olivier Leroy,72.37
15,Rudi Liekens,66.22
16,Kristof Verschoren,64.17
17,Jean-Luc Dufour,40.48
18,Axel Hansoulle,40.24
19,Paul Van de Water,39.86
20,dummy 1,0.00
21,dummy 2,0.00
